あきびん,びん
スプレー缶・カセットボンベ,資源
埋立ごみ,燃やさないごみ
埋立ごみ　,燃やさないごみ
埋立ごみ（ライター）,燃やさないごみ
埋立ごみの日の金属,燃やさないごみ
市で収集しない,-
有料粗大ごみ,-
有料粗大ごみ（１）,-
有料粗大ごみ（１０）,-
有料粗大ごみ（１１）,-
有料粗大ごみ（１２）,-
有料粗大ごみ（１３）,-
有料粗大ごみ（１４）,-
有料粗大ごみ（１５）,-
有料粗大ごみ（１６）,-
有料粗大ごみ（１７）,-
有料粗大ごみ（１８）,-
有料粗大ごみ（１９）,-
有料粗大ごみ（２）,-
有料粗大ごみ（２０）,-
有料粗大ごみ（２１）,-
有料粗大ごみ（２２）,-
有料粗大ごみ（２３）,-
有料粗大ごみ（２４）,-
有料粗大ごみ（２５）,-
有料粗大ごみ（２６）,-
有料粗大ごみ（２７）,-
有料粗大ごみ（２８）,-
有料粗大ごみ（２９）,-
有料粗大ごみ（３）,-
有料粗大ごみ（３０）,-
有料粗大ごみ（３１）,-
有料粗大ごみ（３２）,-
有料粗大ごみ（３３）,-
有料粗大ごみ（３４）,-
有料粗大ごみ（３５）,-
有料粗大ごみ（３６）,-
有料粗大ごみ（３７）,-
有料粗大ごみ（３８）,-
有料粗大ごみ（３９）,-
有料粗大ごみ（４）,-
有料粗大ごみ（４０）,-
有料粗大ごみ（４１）,-
有料粗大ごみ（４２）,-
有料粗大ごみ（４３）,-
有料粗大ごみ（４４）,-
有料粗大ごみ（４５）,-
有料粗大ごみ（４６）,-
有料粗大ごみ（４７）,-
有料粗大ごみ（４８）,-
有料粗大ごみ（４９）,-
有料粗大ごみ（５）,-
有料粗大ごみ（５０）,-
有料粗大ごみ（５１）,-
有料粗大ごみ（５２）,-
有料粗大ごみ（５３）,-
有料粗大ごみ（５４）,-
有料粗大ごみ（５５）,-
有料粗大ごみ（５６）,-
有料粗大ごみ（５７）,-
有料粗大ごみ（５８）,-
有料粗大ごみ（５９）,-
有料粗大ごみ（６）,-
有料粗大ごみ（６０）,-
有料粗大ごみ（６１）,-
有料粗大ごみ（６２）,-
有料粗大ごみ（６３）,-
有料粗大ごみ（６４）,-
有料粗大ごみ（６５）,-
有料粗大ごみ（６６）,-
有料粗大ごみ（６７）,-
有料粗大ごみ（６８）,-
有料粗大ごみ（６９）,-
有料粗大ごみ（７）,-
有料粗大ごみ（７０）,-
有料粗大ごみ（７１）,-
有料粗大ごみ（７２）,-
有料粗大ごみ（７３）,-
有料粗大ごみ（７４）,-
有料粗大ごみ（７５）,-
有料粗大ごみ（７６）,-
有料粗大ごみ（７７）,-
有料粗大ごみ（７８）,-
有料粗大ごみ（７９）,-
有料粗大ごみ（８）,-
有料粗大ごみ（９）,-
燃やすごみ,燃やすごみ
資源,資源
資源（あき缶）,資源
資源（フロン回収製品）,資源
資源（ペットボトル）,資源
資源（容プラ）,資源
資源（水銀含有製品）,資源